CompanyName,RequiredSkills
Vianet,"['HTML', 'C++', 'SQL']"
Yomari,"['Java', 'Data Science', 'HTML']"
Bits Innovation,"['CSS', 'Machine Learning', 'JavaScript']"
IT Gurus,"['Data Science', 'SQL', 'C++']"
Nepal Agri Tech,"['JavaScript', 'C++', 'CSS']"
Nepal Media Tech,"['JavaScript', 'Python', 'C++']"
Nepal Cloud Solutions,"['Data Science', 'Python']"
Pathao,"['JavaScript', 'Machine Learning']"
Nepal Agri Tech,['HTML']
Stupa Tech,"['Data Science', 'HTML', 'Machine Learning']"
Krishi Tech,"['HTML', 'Python', 'R']"
IT Gurus,"['Data Science', 'HTML', 'SQL']"
Proshore,['CSS']
Nepal Automotive Tech,"['HTML', 'C++', 'Machine Learning', 'Java']"
Nepal Fin Tech,"['CSS', 'Data Science', 'C++']"
HoneyGuide Apps,"['R', 'SQL', 'HTML']"
Bits Innovation,"['HTML', 'Machine Learning']"
Nepal Retail Tech,"['HTML', 'R', 'CSS', 'Data Science']"
Real Time Solutions,"['Java', 'Python', 'SQL', 'CSS', 'R']"
Deerwalk,['CSS']
Nepal E-commerce Solutions,"['C++', 'HTML', 'Data Science']"
Nepal App Developers,"['Data Science', 'Python', 'JavaScript', 'R', 'CSS']"
SoftNEP,"['Data Science', 'SQL', 'Python', 'R']"
Nepal Wellness Tech,"['SQL', 'Java']"
Swift Technology,"['Java', 'C++']"
F1Soft,"['Python', 'CSS', 'C++', 'SQL', 'R']"
Yomari,"['Machine Learning', 'JavaScript']"
NAXA,['C++']
Nepal Software,"['C++', 'HTML', 'CSS', 'Java']"
Nepal Green Tech,"['Machine Learning', 'Python']"
Merojob,['R']
Nepal Digital Communications,['Machine Learning']
Nepal Telecom,"['SQL', 'Machine Learning', 'Python', 'C++', 'R']"
Nepal B2B,"['CSS', 'Java', 'SQL']"
Sajha Yatayat,"['SQL', 'JavaScript']"
Genese Solution,['HTML']
Webpage Nepal,['SQL']
Swift Technology,"['HTML', 'C++']"
Nepal Web Solutions,"['Java', 'R', 'JavaScript', 'CSS']"
Vianet,"['HTML', 'C++', 'SQL']"
SunBi Design Studio,['C++']
Nepware,"['R', 'Machine Learning', 'SQL', 'Data Science']"
Ansu Solutions,"['JavaScript', 'R']"
Vertex Craft,['JavaScript']
Neema Academy,"['CSS', 'Java', 'Data Science', 'JavaScript']"
Stupa IT,"['CSS', 'HTML', 'JavaScript']"
Nepal Smart Tech,"['Machine Learning', 'Java', 'HTML']"
